,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,C107,25.0,200.0,depart,40.0,50.0,0.0,0.0,1236.0,0.0,1274.0
1,,,,C_1,45.0,68.0,10.0,850.0,1030.0,90.0,1833.0
2,,,,C_2,45.0,70.0,30.0,758.0,938.0,90.0,2055.0
3,,,,C_3,42.0,66.0,10.0,16.0,196.0,90.0,649.0
4,,,,C_4,42.0,68.0,10.0,665.0,845.0,90.0,1067.0
5,,,,C_5,42.0,65.0,10.0,15.0,195.0,90.0,438.0
6,,,,C_6,40.0,69.0,20.0,572.0,752.0,90.0,1152.0
7,,,,C_7,40.0,66.0,20.0,108.0,288.0,90.0,1507.0
8,,,,C_8,38.0,68.0,20.0,200.0,380.0,90.0,709.0
9,,,,C_9,38.0,70.0,10.0,480.0,660.0,90.0,1084.0
10,,,,C_10,35.0,66.0,10.0,294.0,474.0,90.0,1645.0
11,,,,C_11,35.0,69.0,10.0,387.0,567.0,90.0,1935.0
12,,,,C_12,25.0,85.0,20.0,597.0,777.0,90.0,2299.0
13,,,,C_13,22.0,75.0,30.0,30.0,210.0,90.0,907.0
14,,,,C_14,22.0,85.0,10.0,504.0,684.0,90.0,1851.0
15,,,,C_15,20.0,80.0,40.0,317.0,497.0,90.0,1065.0
16,,,,C_16,20.0,85.0,40.0,412.0,592.0,90.0,2040.0
17,,,,C_17,18.0,75.0,20.0,34.0,214.0,90.0,1628.0
18,,,,C_18,15.0,75.0,20.0,127.0,307.0,90.0,1611.0
19,,,,C_19,15.0,80.0,10.0,222.0,402.0,90.0,1443.0
20,,,,C_20,30.0,50.0,10.0,10.0,190.0,90.0,1735.0
21,,,,C_21,30.0,52.0,20.0,850.0,1030.0,90.0,2189.0
22,,,,C_22,28.0,52.0,20.0,758.0,938.0,90.0,2020.0
23,,,,C_23,28.0,55.0,10.0,665.0,845.0,90.0,1064.0
24,,,,C_24,25.0,50.0,10.0,15.0,195.0,90.0,1056.0
25,,,,C_25,25.0,52.0,40.0,107.0,287.0,90.0,605.0
26,,,,C_26,25.0,55.0,10.0,572.0,752.0,90.0,1155.0
27,,,,C_27,23.0,52.0,10.0,199.0,379.0,90.0,1184.0
28,,,,C_28,23.0,55.0,20.0,480.0,660.0,90.0,1574.0
29,,,,C_29,20.0,50.0,10.0,292.0,472.0,90.0,1110.0
30,,,,C_30,20.0,55.0,10.0,387.0,567.0,90.0,1256.0
31,,,,C_31,10.0,35.0,20.0,129.0,309.0,90.0,649.0
