,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,C105,25.0,200.0,depart,40.0,50.0,0.0,0.0,1236.0,0.0,2508.0
1,,,,C_1,45.0,68.0,10.0,885.0,994.0,90.0,1969.0
2,,,,C_2,45.0,70.0,30.0,802.0,893.0,90.0,2398.0
3,,,,C_3,42.0,66.0,10.0,25.0,186.0,90.0,932.0
4,,,,C_4,42.0,68.0,10.0,699.0,810.0,90.0,994.0
5,,,,C_5,42.0,65.0,10.0,15.0,120.0,90.0,774.0
6,,,,C_6,40.0,69.0,20.0,580.0,743.0,90.0,2202.0
7,,,,C_7,40.0,66.0,20.0,142.0,253.0,90.0,1209.0
8,,,,C_8,38.0,68.0,20.0,220.0,359.0,90.0,385.0
9,,,,C_9,38.0,70.0,10.0,499.0,640.0,90.0,1735.0
10,,,,C_10,35.0,66.0,10.0,331.0,436.0,90.0,1119.0
11,,,,C_11,35.0,69.0,10.0,420.0,533.0,90.0,1523.0
12,,,,C_12,25.0,85.0,20.0,617.0,756.0,90.0,761.0
13,,,,C_13,22.0,75.0,30.0,30.0,155.0,90.0,1259.0
14,,,,C_14,22.0,85.0,10.0,541.0,646.0,90.0,1031.0
15,,,,C_15,20.0,80.0,40.0,362.0,451.0,90.0,1387.0
16,,,,C_16,20.0,85.0,40.0,448.0,555.0,90.0,911.0
17,,,,C_17,18.0,75.0,20.0,75.0,172.0,90.0,1670.0
18,,,,C_18,15.0,75.0,20.0,142.0,291.0,90.0,1713.0
19,,,,C_19,15.0,80.0,10.0,244.0,379.0,90.0,1885.0
20,,,,C_20,30.0,50.0,10.0,10.0,137.0,90.0,607.0
21,,,,C_21,30.0,52.0,20.0,888.0,991.0,90.0,1181.0
22,,,,C_22,28.0,52.0,20.0,776.0,919.0,90.0,1657.0
23,,,,C_23,28.0,55.0,10.0,709.0,800.0,90.0,2272.0
24,,,,C_24,25.0,50.0,10.0,25.0,184.0,90.0,840.0
25,,,,C_25,25.0,52.0,40.0,142.0,251.0,90.0,415.0
26,,,,C_26,25.0,55.0,10.0,582.0,741.0,90.0,1954.0
27,,,,C_27,23.0,52.0,10.0,234.0,343.0,90.0,520.0
28,,,,C_28,23.0,55.0,20.0,523.0,616.0,90.0,1569.0
29,,,,C_29,20.0,50.0,10.0,335.0,428.0,90.0,1283.0
30,,,,C_30,20.0,55.0,10.0,422.0,531.0,90.0,557.0
31,,,,C_31,10.0,35.0,20.0,181.0,256.0,90.0,444.0
32,,,,C_32,10.0,40.0,30.0,31.0,170.0,90.0,1338.0
33,,,,C_33,8.0,40.0,40.0,52.0,193.0,90.0,1082.0
34,,,,C_34,8.0,45.0,20.0,719.0,848.0,90.0,1224.0
35,,,,C_35,5.0,35.0,10.0,252.0,375.0,90.0,934.0
36,,,,C_36,5.0,45.0,10.0,639.0,742.0,90.0,883.0
37,,,,C_37,2.0,40.0,20.0,357.0,460.0,90.0,1599.0
38,,,,C_38,0.0,40.0,30.0,457.0,544.0,90.0,1156.0
39,,,,C_39,0.0,45.0,20.0,538.0,653.0,90.0,1508.0
40,,,,C_40,35.0,30.0,10.0,236.0,349.0,90.0,1308.0
41,,,,C_41,35.0,32.0,10.0,132.0,269.0,90.0,651.0
42,,,,C_42,33.0,32.0,20.0,27.0,190.0,90.0,952.0
43,,,,C_43,33.0,35.0,10.0,16.0,144.0,90.0,535.0
44,,,,C_44,32.0,30.0,10.0,332.0,439.0,90.0,834.0
45,,,,C_45,30.0,30.0,10.0,512.0,629.0,90.0,2068.0
46,,,,C_46,30.0,32.0,30.0,417.0,540.0,90.0,1268.0
47,,,,C_47,30.0,35.0,10.0,982.0,1127.0,90.0,1958.0
48,,,,C_48,28.0,30.0,10.0,601.0,724.0,90.0,1717.0
49,,,,C_49,28.0,35.0,10.0,969.0,1098.0,90.0,2125.0
50,,,,C_50,26.0,32.0,10.0,783.0,912.0,90.0,2239.0
51,,,,C_51,25.0,30.0,10.0,695.0,816.0,90.0,1242.0
52,,,,C_52,25.0,35.0,10.0,883.0,998.0,90.0,1881.0
53,,,,C_53,44.0,5.0,20.0,255.0,378.0,90.0,670.0
54,,,,C_54,42.0,10.0,40.0,150.0,293.0,90.0,1249.0
55,,,,C_55,42.0,15.0,10.0,63.0,190.0,90.0,456.0
56,,,,C_56,40.0,5.0,30.0,359.0,462.0,90.0,1179.0
57,,,,C_57,40.0,15.0,40.0,35.0,140.0,90.0,1111.0
58,,,,C_58,38.0,5.0,30.0,439.0,566.0,90.0,1377.0
59,,,,C_59,38.0,15.0,10.0,607.0,784.0,90.0,1360.0
60,,,,C_60,35.0,5.0,20.0,529.0,662.0,90.0,685.0
61,,,,C_61,50.0,30.0,10.0,491.0,650.0,90.0,1912.0
62,,,,C_62,50.0,35.0,20.0,235.0,344.0,90.0,1010.0
63,,,,C_63,50.0,40.0,50.0,147.0,242.0,90.0,731.0
64,,,,C_64,48.0,30.0,10.0,601.0,724.0,90.0,2166.0
65,,,,C_65,48.0,40.0,10.0,50.0,155.0,90.0,548.0
66,,,,C_66,47.0,35.0,10.0,802.0,899.0,90.0,2233.0
67,,,,C_67,47.0,40.0,10.0,12.0,143.0,90.0,517.0
68,,,,C_68,45.0,30.0,10.0,712.0,799.0,90.0,1924.0
69,,,,C_69,45.0,35.0,10.0,889.0,996.0,90.0,1736.0
70,,,,C_70,95.0,30.0,30.0,353.0,490.0,90.0,1256.0
71,,,,C_71,95.0,35.0,20.0,260.0,393.0,90.0,1594.0
72,,,,C_72,53.0,30.0,10.0,422.0,533.0,90.0,720.0
73,,,,C_73,92.0,30.0,10.0,442.0,587.0,90.0,2137.0
74,,,,C_74,53.0,35.0,50.0,323.0,442.0,90.0,612.0
75,,,,C_75,45.0,65.0,20.0,962.0,1103.0,90.0,2422.0
76,,,,C_76,90.0,35.0,10.0,175.0,288.0,90.0,473.0
77,,,,C_77,88.0,30.0,10.0,539.0,678.0,90.0,1509.0
78,,,,C_78,88.0,35.0,20.0,78.0,201.0,90.0,599.0
79,,,,C_79,87.0,30.0,10.0,636.0,763.0,90.0,777.0
80,,,,C_80,85.0,25.0,10.0,744.0,845.0,90.0,1152.0
81,,,,C_81,85.0,35.0,30.0,47.0,201.0,90.0,1402.0
