,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,C202,25.0,700.0,depart,40.0,50.0,0.0,0.0,3390.0,0.0,5217.0
1,,,,C_1,52.0,75.0,10.0,0.0,3272.0,90.0,6684.0
2,,,,C_2,45.0,70.0,30.0,0.0,3279.0,90.0,7557.0
3,,,,C_3,62.0,69.0,10.0,0.0,3270.0,90.0,8289.0
4,,,,C_4,60.0,66.0,10.0,1261.0,1421.0,90.0,4723.0
5,,,,C_5,42.0,65.0,10.0,0.0,3284.0,90.0,7251.0
6,,,,C_6,16.0,42.0,20.0,497.0,657.0,90.0,5292.0
7,,,,C_7,58.0,70.0,20.0,0.0,3273.0,90.0,6760.0
8,,,,C_8,34.0,60.0,20.0,2887.0,3047.0,90.0,7492.0
9,,,,C_9,28.0,70.0,10.0,2601.0,2761.0,90.0,5390.0
10,,,,C_10,35.0,66.0,10.0,2791.0,2951.0,90.0,3755.0
11,,,,C_11,35.0,69.0,10.0,2698.0,2858.0,90.0,4912.0
12,,,,C_12,25.0,85.0,20.0,0.0,3261.0,90.0,4412.0
13,,,,C_13,22.0,75.0,30.0,2405.0,2565.0,90.0,5567.0
14,,,,C_14,22.0,85.0,10.0,2026.0,2186.0,90.0,4836.0
15,,,,C_15,20.0,80.0,40.0,2216.0,2376.0,90.0,4029.0
16,,,,C_16,20.0,85.0,40.0,1934.0,2094.0,90.0,3658.0
17,,,,C_17,18.0,75.0,20.0,2311.0,2471.0,90.0,3562.0
18,,,,C_18,15.0,75.0,20.0,1742.0,1902.0,90.0,2004.0
19,,,,C_19,15.0,80.0,10.0,1837.0,1997.0,90.0,7072.0
20,,,,C_20,30.0,50.0,10.0,10.0,170.0,90.0,3137.0
21,,,,C_21,30.0,56.0,20.0,0.0,3288.0,90.0,6958.0
22,,,,C_22,28.0,52.0,20.0,22.0,182.0,90.0,3786.0
23,,,,C_23,14.0,66.0,10.0,1643.0,1803.0,90.0,6412.0
24,,,,C_24,25.0,50.0,10.0,116.0,276.0,90.0,3166.0
25,,,,C_25,22.0,66.0,40.0,2504.0,2664.0,90.0,3351.0
26,,,,C_26,8.0,62.0,10.0,0.0,3265.0,90.0,5624.0
27,,,,C_27,23.0,52.0,10.0,209.0,369.0,90.0,1532.0
28,,,,C_28,4.0,55.0,20.0,1447.0,1607.0,90.0,2611.0
29,,,,C_29,20.0,50.0,10.0,398.0,558.0,90.0,3391.0
30,,,,C_30,20.0,55.0,10.0,303.0,463.0,90.0,1117.0
31,,,,C_31,10.0,35.0,20.0,0.0,3266.0,90.0,7715.0
32,,,,C_32,10.0,40.0,30.0,593.0,753.0,90.0,1734.0
33,,,,C_33,8.0,40.0,40.0,685.0,845.0,90.0,1858.0
34,,,,C_34,8.0,45.0,20.0,0.0,3267.0,90.0,6279.0
35,,,,C_35,5.0,35.0,10.0,876.0,1036.0,90.0,5428.0
36,,,,C_36,5.0,45.0,10.0,1253.0,1413.0,90.0,3625.0
37,,,,C_37,2.0,40.0,20.0,0.0,3260.0,90.0,5988.0
38,,,,C_38,0.0,40.0,30.0,1063.0,1223.0,90.0,2075.0
39,,,,C_39,0.0,45.0,20.0,1158.0,1318.0,90.0,4938.0
40,,,,C_40,36.0,18.0,10.0,1819.0,1979.0,90.0,4486.0
41,,,,C_41,35.0,32.0,10.0,2758.0,2918.0,90.0,3279.0
42,,,,C_42,33.0,32.0,20.0,2666.0,2826.0,90.0,4531.0
43,,,,C_43,33.0,35.0,10.0,2573.0,2733.0,90.0,7843.0
44,,,,C_44,32.0,20.0,10.0,1913.0,2073.0,90.0,4956.0
45,,,,C_45,30.0,30.0,10.0,2105.0,2265.0,90.0,2909.0
46,,,,C_46,34.0,25.0,30.0,2009.0,2169.0,90.0,6128.0
47,,,,C_47,30.0,35.0,10.0,2480.0,2640.0,90.0,5379.0
48,,,,C_48,36.0,40.0,10.0,0.0,3289.0,90.0,7200.0
49,,,,C_49,48.0,20.0,10.0,967.0,1127.0,90.0,1457.0
50,,,,C_50,26.0,32.0,10.0,0.0,3277.0,90.0,8441.0
51,,,,C_51,25.0,30.0,10.0,2200.0,2360.0,90.0,5693.0
52,,,,C_52,25.0,35.0,10.0,0.0,3278.0,90.0,6964.0
53,,,,C_53,44.0,5.0,20.0,1256.0,1416.0,90.0,1750.0
54,,,,C_54,42.0,10.0,40.0,1160.0,1320.0,90.0,1499.0
55,,,,C_55,42.0,15.0,10.0,1065.0,1225.0,90.0,1523.0
56,,,,C_56,40.0,5.0,30.0,1350.0,1510.0,90.0,5516.0
57,,,,C_57,38.0,15.0,40.0,1725.0,1885.0,90.0,4579.0
58,,,,C_58,38.0,5.0,30.0,1442.0,1602.0,90.0,4291.0
59,,,,C_59,38.0,10.0,10.0,0.0,3259.0,90.0,4974.0
60,,,,C_60,35.0,5.0,20.0,1535.0,1695.0,90.0,3876.0
61,,,,C_61,50.0,30.0,10.0,401.0,561.0,90.0,5598.0
62,,,,C_62,50.0,35.0,20.0,120.0,280.0,90.0,3665.0
63,,,,C_63,50.0,40.0,50.0,25.0,185.0,90.0,4287.0
64,,,,C_64,48.0,30.0,10.0,493.0,653.0,90.0,1873.0
65,,,,C_65,44.0,25.0,10.0,871.0,1031.0,90.0,1258.0
66,,,,C_66,47.0,35.0,10.0,588.0,748.0,90.0,2979.0
67,,,,C_67,47.0,40.0,10.0,12.0,172.0,90.0,2663.0
68,,,,C_68,42.0,30.0,10.0,776.0,936.0,90.0,3096.0
69,,,,C_69,45.0,35.0,10.0,680.0,840.0,90.0,5380.0
70,,,,C_70,95.0,30.0,30.0,2321.0,2481.0,90.0,6370.0
71,,,,C_71,95.0,35.0,20.0,2226.0,2386.0,90.0,3150.0
72,,,,C_72,53.0,30.0,10.0,0.0,3276.0,90.0,4009.0
73,,,,C_73,92.0,30.0,10.0,2414.0,2574.0,90.0,4036.0
74,,,,C_74,53.0,35.0,50.0,213.0,373.0,90.0,5350.0
75,,,,C_75,45.0,65.0,20.0,0.0,3284.0,90.0,6649.0
76,,,,C_76,90.0,35.0,10.0,2131.0,2291.0,90.0,7363.0
77,,,,C_77,72.0,45.0,10.0,2900.0,3060.0,90.0,4156.0
78,,,,C_78,78.0,40.0,20.0,2802.0,2962.0,90.0,7046.0
