,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,RC108,25.0,200.0,depart,40.0,50.0,0.0,0.0,240.0,0.0,621.0
1,,,,C_1,25.0,85.0,20.0,49.0,191.0,10.0,653.0
2,,,,C_2,22.0,75.0,30.0,30.0,168.0,10.0,341.0
3,,,,C_3,22.0,85.0,10.0,95.0,152.0,10.0,627.0
4,,,,C_4,20.0,80.0,40.0,69.0,193.0,10.0,512.0
5,,,,C_5,20.0,85.0,20.0,40.0,189.0,10.0,392.0
6,,,,C_6,18.0,75.0,20.0,60.0,159.0,10.0,606.0
7,,,,C_7,15.0,75.0,20.0,54.0,133.0,10.0,611.0
8,,,,C_8,15.0,80.0,10.0,67.0,144.0,10.0,398.0
9,,,,C_9,10.0,35.0,20.0,57.0,154.0,10.0,221.0
10,,,,C_10,10.0,40.0,30.0,106.0,161.0,10.0,393.0
11,,,,C_11,8.0,40.0,40.0,33.0,152.0,10.0,773.0
12,,,,C_12,8.0,45.0,20.0,32.0,148.0,10.0,737.0
13,,,,C_13,5.0,35.0,10.0,53.0,191.0,10.0,249.0
14,,,,C_14,5.0,45.0,10.0,35.0,194.0,10.0,459.0
15,,,,C_15,2.0,40.0,20.0,39.0,163.0,10.0,310.0
16,,,,C_16,0.0,40.0,20.0,41.0,141.0,10.0,427.0
17,,,,C_17,0.0,45.0,20.0,51.0,189.0,10.0,386.0
18,,,,C_18,44.0,5.0,20.0,73.0,130.0,10.0,165.0
19,,,,C_19,42.0,10.0,40.0,40.0,148.0,10.0,802.0
20,,,,C_20,42.0,15.0,10.0,94.0,179.0,10.0,285.0
21,,,,C_21,40.0,5.0,10.0,45.0,161.0,10.0,612.0
22,,,,C_22,40.0,15.0,40.0,64.0,149.0,10.0,705.0
23,,,,C_23,38.0,5.0,30.0,45.0,164.0,10.0,259.0
24,,,,C_24,38.0,15.0,10.0,51.0,194.0,10.0,560.0
25,,,,C_25,35.0,5.0,20.0,45.0,183.0,10.0,638.0
26,,,,C_26,95.0,30.0,30.0,90.0,169.0,10.0,762.0
27,,,,C_27,95.0,35.0,20.0,57.0,172.0,10.0,514.0
28,,,,C_28,92.0,30.0,10.0,55.0,174.0,10.0,545.0
29,,,,C_29,90.0,35.0,10.0,52.0,174.0,10.0,589.0
30,,,,C_30,88.0,30.0,10.0,52.0,147.0,10.0,367.0
31,,,,C_31,88.0,35.0,20.0,50.0,172.0,10.0,656.0
32,,,,C_32,87.0,30.0,10.0,61.0,178.0,10.0,256.0
33,,,,C_33,85.0,25.0,10.0,51.0,178.0,10.0,268.0
34,,,,C_34,85.0,35.0,30.0,83.0,168.0,10.0,532.0
35,,,,C_35,67.0,85.0,20.0,57.0,185.0,10.0,569.0
36,,,,C_36,65.0,85.0,40.0,43.0,186.0,10.0,514.0
37,,,,C_37,65.0,82.0,10.0,95.0,182.0,10.0,548.0
38,,,,C_38,62.0,80.0,30.0,38.0,141.0,10.0,669.0
39,,,,C_39,60.0,80.0,10.0,36.0,193.0,10.0,690.0
40,,,,C_40,60.0,85.0,30.0,61.0,138.0,10.0,643.0
41,,,,C_41,58.0,75.0,20.0,49.0,164.0,10.0,172.0
42,,,,C_42,55.0,80.0,10.0,33.0,180.0,10.0,284.0
43,,,,C_43,55.0,85.0,20.0,100.0,185.0,10.0,393.0
44,,,,C_44,55.0,82.0,10.0,35.0,142.0,10.0,343.0
45,,,,C_45,20.0,82.0,10.0,37.0,192.0,10.0,635.0
46,,,,C_46,18.0,80.0,10.0,71.0,184.0,10.0,807.0
47,,,,C_47,2.0,45.0,10.0,38.0,191.0,10.0,587.0
48,,,,C_48,42.0,5.0,10.0,50.0,184.0,10.0,577.0
49,,,,C_49,42.0,12.0,10.0,99.0,138.0,10.0,652.0
50,,,,C_50,72.0,35.0,30.0,83.0,178.0,10.0,852.0
51,,,,C_51,55.0,20.0,19.0,45.0,150.0,10.0,293.0
52,,,,C_52,25.0,30.0,3.0,25.0,150.0,10.0,831.0
53,,,,C_53,20.0,50.0,5.0,68.0,143.0,10.0,601.0
54,,,,C_54,55.0,60.0,16.0,107.0,200.0,10.0,255.0
55,,,,C_55,30.0,60.0,16.0,95.0,214.0,10.0,523.0
56,,,,C_56,50.0,35.0,19.0,91.0,198.0,10.0,509.0
