,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,RC205,25.0,1000.0,depart,40.0,50.0,0.0,0.0,960.0,0.0,2952.0
1,,,,C_1,25.0,85.0,20.0,431.0,911.0,10.0,2764.0
2,,,,C_2,22.0,75.0,30.0,30.0,510.0,10.0,2138.0
3,,,,C_3,22.0,85.0,10.0,291.0,771.0,10.0,1169.0
4,,,,C_4,20.0,80.0,40.0,674.0,734.0,10.0,3067.0
5,,,,C_5,20.0,85.0,20.0,40.0,520.0,10.0,3500.0
6,,,,C_6,18.0,75.0,20.0,393.0,502.0,10.0,2125.0
7,,,,C_7,15.0,75.0,20.0,120.0,600.0,10.0,2990.0
8,,,,C_8,15.0,80.0,10.0,397.0,457.0,10.0,2533.0
9,,,,C_9,10.0,35.0,20.0,401.0,461.0,10.0,580.0
10,,,,C_10,10.0,40.0,30.0,535.0,622.0,10.0,1415.0
11,,,,C_11,8.0,40.0,40.0,225.0,285.0,10.0,1823.0
12,,,,C_12,8.0,45.0,20.0,43.0,523.0,10.0,2667.0
13,,,,C_13,5.0,35.0,10.0,683.0,743.0,10.0,2548.0
14,,,,C_14,5.0,45.0,10.0,35.0,366.0,10.0,1345.0
15,,,,C_15,2.0,40.0,20.0,204.0,264.0,10.0,1295.0
16,,,,C_16,0.0,40.0,20.0,204.0,425.0,10.0,1205.0
17,,,,C_17,0.0,45.0,20.0,698.0,827.0,10.0,2974.0
18,,,,C_18,44.0,5.0,20.0,306.0,483.0,10.0,496.0
19,,,,C_19,42.0,10.0,40.0,199.0,428.0,10.0,703.0
20,,,,C_20,42.0,15.0,10.0,494.0,699.0,10.0,700.0
21,,,,C_21,40.0,5.0,10.0,45.0,525.0,10.0,1566.0
22,,,,C_22,40.0,15.0,40.0,383.0,486.0,10.0,968.0
23,,,,C_23,38.0,5.0,30.0,231.0,291.0,10.0,1996.0
24,,,,C_24,38.0,15.0,10.0,609.0,872.0,10.0,2036.0
25,,,,C_25,35.0,5.0,20.0,821.0,881.0,10.0,1471.0
26,,,,C_26,95.0,30.0,30.0,349.0,829.0,10.0,2311.0
27,,,,C_27,95.0,35.0,20.0,138.0,273.0,10.0,641.0
28,,,,C_28,92.0,30.0,10.0,78.0,339.0,10.0,3312.0
29,,,,C_29,90.0,35.0,10.0,132.0,375.0,10.0,2871.0
30,,,,C_30,88.0,30.0,10.0,252.0,359.0,10.0,617.0
31,,,,C_31,88.0,35.0,20.0,50.0,530.0,10.0,1499.0
32,,,,C_32,87.0,30.0,10.0,562.0,799.0,10.0,3353.0
33,,,,C_33,85.0,25.0,10.0,71.0,208.0,10.0,1491.0
34,,,,C_34,85.0,35.0,30.0,307.0,787.0,10.0,2314.0
35,,,,C_35,67.0,85.0,20.0,655.0,778.0,10.0,3622.0
36,,,,C_36,65.0,85.0,40.0,43.0,186.0,10.0,3040.0
37,,,,C_37,65.0,82.0,10.0,377.0,857.0,10.0,2225.0
38,,,,C_38,62.0,80.0,30.0,308.0,368.0,10.0,2989.0
39,,,,C_39,60.0,80.0,10.0,46.0,201.0,10.0,2517.0
40,,,,C_40,60.0,85.0,30.0,339.0,438.0,10.0,3293.0
41,,,,C_41,58.0,75.0,20.0,377.0,494.0,10.0,2939.0
42,,,,C_42,55.0,80.0,10.0,33.0,166.0,10.0,257.0
43,,,,C_43,55.0,85.0,20.0,531.0,736.0,10.0,955.0
44,,,,C_44,55.0,82.0,10.0,247.0,307.0,10.0,1804.0
45,,,,C_45,20.0,82.0,10.0,37.0,177.0,10.0,3196.0
46,,,,C_46,18.0,80.0,10.0,432.0,665.0,10.0,2619.0
47,,,,C_47,2.0,45.0,10.0,38.0,322.0,10.0,362.0
48,,,,C_48,42.0,5.0,10.0,424.0,904.0,10.0,1048.0
49,,,,C_49,42.0,12.0,10.0,460.0,539.0,10.0,3340.0
50,,,,C_50,72.0,35.0,30.0,327.0,807.0,10.0,1640.0
51,,,,C_51,55.0,20.0,19.0,273.0,498.0,10.0,2212.0
52,,,,C_52,25.0,30.0,3.0,25.0,505.0,10.0,1014.0
53,,,,C_53,20.0,50.0,5.0,405.0,465.0,10.0,1108.0
54,,,,C_54,55.0,60.0,16.0,554.0,767.0,10.0,3094.0
55,,,,C_55,30.0,60.0,16.0,629.0,689.0,10.0,2633.0
56,,,,C_56,50.0,35.0,19.0,560.0,673.0,10.0,3742.0
57,,,,C_57,30.0,25.0,23.0,342.0,571.0,10.0,1800.0
58,,,,C_58,15.0,10.0,20.0,842.0,902.0,10.0,1247.0
59,,,,C_59,10.0,20.0,19.0,42.0,522.0,10.0,991.0
60,,,,C_60,15.0,60.0,17.0,623.0,884.0,10.0,2451.0
61,,,,C_61,45.0,65.0,9.0,214.0,421.0,10.0,3490.0
62,,,,C_62,65.0,35.0,3.0,197.0,257.0,10.0,3424.0
63,,,,C_63,65.0,20.0,6.0,39.0,316.0,10.0,1431.0
64,,,,C_64,45.0,30.0,17.0,191.0,310.0,10.0,1336.0
65,,,,C_65,35.0,40.0,16.0,11.0,140.0,10.0,2824.0
66,,,,C_66,41.0,37.0,16.0,570.0,681.0,10.0,1485.0
67,,,,C_67,64.0,42.0,9.0,298.0,358.0,10.0,3401.0
68,,,,C_68,40.0,60.0,21.0,613.0,730.0,10.0,1333.0
69,,,,C_69,31.0,52.0,27.0,187.0,247.0,10.0,1205.0
70,,,,C_70,35.0,69.0,23.0,780.0,930.0,10.0,2108.0
71,,,,C_71,65.0,55.0,14.0,191.0,410.0,10.0,1295.0
72,,,,C_72,63.0,65.0,8.0,27.0,507.0,10.0,661.0
73,,,,C_73,2.0,60.0,5.0,240.0,451.0,10.0,2028.0
74,,,,C_74,20.0,20.0,8.0,675.0,735.0,10.0,3351.0
75,,,,C_75,5.0,5.0,16.0,57.0,537.0,10.0,2428.0
76,,,,C_76,60.0,12.0,31.0,298.0,358.0,10.0,1434.0
77,,,,C_77,23.0,3.0,7.0,794.0,854.0,10.0,2341.0
78,,,,C_78,8.0,56.0,27.0,366.0,483.0,10.0,1685.0
79,,,,C_79,6.0,68.0,30.0,382.0,442.0,10.0,2941.0
80,,,,C_80,47.0,47.0,13.0,817.0,942.0,10.0,3671.0
81,,,,C_81,49.0,58.0,10.0,332.0,497.0,10.0,2540.0
82,,,,C_82,27.0,43.0,9.0,14.0,494.0,10.0,2395.0
83,,,,C_83,37.0,31.0,14.0,19.0,499.0,10.0,3330.0
84,,,,C_84,57.0,29.0,18.0,425.0,485.0,10.0,2939.0
85,,,,C_85,63.0,23.0,2.0,164.0,644.0,10.0,2930.0
86,,,,C_86,21.0,24.0,28.0,310.0,507.0,10.0,1981.0
87,,,,C_87,12.0,24.0,13.0,389.0,449.0,10.0,2256.0
88,,,,C_88,24.0,58.0,19.0,262.0,377.0,10.0,2310.0
89,,,,C_89,67.0,5.0,25.0,611.0,897.0,10.0,2745.0
90,,,,C_90,37.0,47.0,6.0,311.0,526.0,10.0,3471.0
91,,,,C_91,49.0,42.0,13.0,457.0,937.0,10.0,4138.0
92,,,,C_92,53.0,43.0,14.0,14.0,74.0,10.0,314.0
93,,,,C_93,61.0,52.0,3.0,789.0,928.0,10.0,2125.0
94,,,,C_94,57.0,48.0,23.0,212.0,692.0,10.0,2461.0
