,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,R106,25.0,200.0,depart,35.0,35.0,0.0,0.0,230.0,0.0,793.0
1,,,,C_1,41.0,49.0,10.0,0.0,204.0,10.0,288.0
2,,,,C_2,35.0,17.0,7.0,0.0,202.0,10.0,324.0
3,,,,C_3,55.0,45.0,13.0,0.0,197.0,10.0,710.0
4,,,,C_4,55.0,20.0,19.0,139.0,169.0,10.0,692.0
5,,,,C_5,15.0,30.0,26.0,0.0,199.0,10.0,424.0
6,,,,C_6,25.0,30.0,3.0,89.0,119.0,10.0,225.0
7,,,,C_7,20.0,50.0,5.0,0.0,198.0,10.0,723.0
8,,,,C_8,10.0,43.0,9.0,85.0,115.0,10.0,683.0
9,,,,C_9,55.0,60.0,16.0,87.0,117.0,10.0,363.0
10,,,,C_10,30.0,60.0,16.0,114.0,144.0,10.0,701.0
11,,,,C_11,20.0,65.0,12.0,57.0,87.0,10.0,114.0
12,,,,C_12,50.0,35.0,19.0,0.0,205.0,10.0,669.0
13,,,,C_13,30.0,25.0,23.0,149.0,179.0,10.0,710.0
14,,,,C_14,15.0,10.0,20.0,32.0,62.0,10.0,208.0
15,,,,C_15,30.0,5.0,8.0,51.0,81.0,10.0,136.0
16,,,,C_16,10.0,20.0,19.0,65.0,95.0,10.0,244.0
17,,,,C_17,5.0,30.0,2.0,147.0,177.0,10.0,531.0
18,,,,C_18,20.0,40.0,12.0,77.0,107.0,10.0,408.0
19,,,,C_19,15.0,60.0,17.0,66.0,96.0,10.0,560.0
20,,,,C_20,45.0,65.0,9.0,116.0,146.0,10.0,687.0
21,,,,C_21,45.0,20.0,11.0,0.0,201.0,10.0,777.0
22,,,,C_22,45.0,10.0,18.0,87.0,117.0,10.0,397.0
23,,,,C_23,55.0,5.0,29.0,58.0,88.0,10.0,354.0
24,,,,C_24,65.0,35.0,3.0,143.0,173.0,10.0,757.0
25,,,,C_25,65.0,20.0,6.0,156.0,186.0,10.0,564.0
26,,,,C_26,45.0,30.0,17.0,0.0,208.0,10.0,420.0
27,,,,C_27,35.0,40.0,16.0,27.0,57.0,10.0,491.0
28,,,,C_28,41.0,37.0,16.0,29.0,59.0,10.0,157.0
29,,,,C_29,64.0,42.0,9.0,53.0,83.0,10.0,576.0
30,,,,C_30,40.0,60.0,21.0,61.0,91.0,10.0,380.0
31,,,,C_31,31.0,52.0,27.0,0.0,202.0,10.0,347.0
32,,,,C_32,35.0,69.0,23.0,131.0,161.0,10.0,205.0
33,,,,C_33,53.0,52.0,11.0,27.0,57.0,10.0,75.0
34,,,,C_34,65.0,55.0,14.0,0.0,183.0,10.0,620.0
35,,,,C_35,63.0,65.0,8.0,133.0,163.0,10.0,758.0
36,,,,C_36,2.0,60.0,5.0,41.0,71.0,10.0,215.0
37,,,,C_37,20.0,20.0,8.0,0.0,198.0,10.0,397.0
