,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,R110,25.0,200.0,depart,35.0,35.0,0.0,0.0,230.0,0.0,533.0
1,,,,C_1,41.0,49.0,10.0,130.0,201.0,10.0,284.0
2,,,,C_2,35.0,17.0,7.0,20.0,89.0,10.0,721.0
3,,,,C_3,55.0,45.0,13.0,106.0,135.0,10.0,249.0
4,,,,C_4,55.0,20.0,19.0,71.0,195.0,10.0,435.0
5,,,,C_5,15.0,30.0,26.0,20.0,107.0,10.0,718.0
6,,,,C_6,25.0,30.0,3.0,54.0,153.0,10.0,400.0
7,,,,C_7,20.0,50.0,5.0,66.0,105.0,10.0,482.0
8,,,,C_8,10.0,43.0,9.0,61.0,138.0,10.0,369.0
9,,,,C_9,55.0,60.0,16.0,53.0,150.0,10.0,348.0
10,,,,C_10,30.0,60.0,16.0,101.0,156.0,10.0,358.0
11,,,,C_11,20.0,65.0,12.0,33.0,152.0,10.0,613.0
12,,,,C_12,50.0,35.0,19.0,38.0,97.0,10.0,138.0
13,,,,C_13,30.0,25.0,23.0,70.0,208.0,10.0,676.0
14,,,,C_14,15.0,10.0,20.0,32.0,137.0,10.0,644.0
15,,,,C_15,30.0,5.0,8.0,30.0,154.0,10.0,348.0
16,,,,C_16,10.0,20.0,19.0,54.0,105.0,10.0,669.0
17,,,,C_17,5.0,30.0,2.0,51.0,189.0,10.0,599.0
18,,,,C_18,20.0,40.0,12.0,77.0,106.0,10.0,130.0
19,,,,C_19,15.0,60.0,17.0,53.0,108.0,10.0,231.0
20,,,,C_20,45.0,65.0,9.0,109.0,152.0,10.0,280.0
21,,,,C_21,45.0,20.0,11.0,37.0,96.0,10.0,565.0
22,,,,C_22,45.0,10.0,18.0,59.0,144.0,10.0,152.0
23,,,,C_23,55.0,5.0,29.0,36.0,155.0,10.0,329.0
24,,,,C_24,65.0,35.0,3.0,118.0,190.0,10.0,569.0
25,,,,C_25,65.0,20.0,6.0,47.0,186.0,10.0,590.0
26,,,,C_26,45.0,30.0,17.0,117.0,156.0,10.0,519.0
27,,,,C_27,35.0,40.0,16.0,5.0,156.0,10.0,178.0
28,,,,C_28,41.0,37.0,16.0,8.0,79.0,10.0,679.0
29,,,,C_29,64.0,42.0,9.0,37.0,98.0,10.0,725.0
30,,,,C_30,40.0,60.0,21.0,28.0,123.0,10.0,287.0
31,,,,C_31,31.0,52.0,27.0,24.0,85.0,10.0,524.0
32,,,,C_32,35.0,69.0,23.0,116.0,175.0,10.0,479.0
33,,,,C_33,53.0,52.0,11.0,24.0,179.0,10.0,296.0
34,,,,C_34,65.0,55.0,14.0,100.0,143.0,10.0,196.0
35,,,,C_35,63.0,65.0,8.0,50.0,178.0,10.0,526.0
36,,,,C_36,2.0,60.0,5.0,41.0,178.0,10.0,470.0
37,,,,C_37,20.0,20.0,8.0,117.0,160.0,10.0,676.0
38,,,,C_38,5.0,5.0,16.0,42.0,145.0,10.0,229.0
39,,,,C_39,60.0,12.0,31.0,33.0,186.0,10.0,808.0
40,,,,C_40,40.0,25.0,9.0,51.0,128.0,10.0,220.0
41,,,,C_41,42.0,7.0,5.0,44.0,159.0,10.0,174.0
42,,,,C_42,24.0,12.0,5.0,25.0,172.0,10.0,581.0
43,,,,C_43,23.0,3.0,7.0,115.0,158.0,10.0,178.0
44,,,,C_44,11.0,14.0,18.0,31.0,138.0,10.0,625.0
45,,,,C_45,6.0,38.0,16.0,29.0,189.0,10.0,715.0
46,,,,C_46,2.0,48.0,1.0,93.0,150.0,10.0,249.0
47,,,,C_47,8.0,56.0,27.0,34.0,116.0,10.0,667.0
48,,,,C_48,13.0,52.0,36.0,125.0,192.0,10.0,615.0
49,,,,C_49,6.0,68.0,30.0,93.0,132.0,10.0,694.0
50,,,,C_50,47.0,47.0,13.0,105.0,152.0,10.0,207.0
51,,,,C_51,49.0,58.0,10.0,66.0,119.0,10.0,361.0
52,,,,C_52,27.0,43.0,9.0,25.0,88.0,10.0,278.0
53,,,,C_53,37.0,31.0,14.0,62.0,137.0,10.0,316.0
54,,,,C_54,57.0,29.0,18.0,121.0,168.0,10.0,406.0
55,,,,C_55,63.0,23.0,2.0,70.0,189.0,10.0,635.0
56,,,,C_56,53.0,12.0,6.0,81.0,188.0,10.0,664.0
57,,,,C_57,32.0,12.0,7.0,78.0,133.0,10.0,585.0
58,,,,C_58,36.0,26.0,18.0,79.0,210.0,10.0,790.0
59,,,,C_59,21.0,24.0,28.0,17.0,123.0,10.0,530.0
60,,,,C_60,17.0,34.0,3.0,130.0,201.0,10.0,571.0
61,,,,C_61,12.0,24.0,13.0,59.0,102.0,10.0,701.0
62,,,,C_62,24.0,58.0,19.0,25.0,164.0,10.0,605.0
63,,,,C_63,27.0,69.0,10.0,34.0,112.0,10.0,510.0
64,,,,C_64,15.0,77.0,9.0,46.0,165.0,10.0,651.0
65,,,,C_65,62.0,77.0,20.0,49.0,170.0,10.0,399.0
66,,,,C_66,49.0,73.0,25.0,77.0,179.0,10.0,615.0
67,,,,C_67,67.0,5.0,25.0,43.0,150.0,10.0,240.0
68,,,,C_68,56.0,39.0,36.0,82.0,198.0,10.0,395.0
69,,,,C_69,37.0,47.0,6.0,12.0,142.0,10.0,609.0
70,,,,C_70,37.0,56.0,5.0,21.0,198.0,10.0,199.0
71,,,,C_71,57.0,68.0,15.0,57.0,106.0,10.0,177.0
72,,,,C_72,47.0,16.0,25.0,22.0,110.0,10.0,254.0
73,,,,C_73,44.0,17.0,9.0,60.0,105.0,10.0,529.0
74,,,,C_74,46.0,13.0,8.0,73.0,195.0,10.0,467.0
75,,,,C_75,49.0,11.0,18.0,46.0,101.0,10.0,440.0
76,,,,C_76,49.0,42.0,13.0,36.0,119.0,10.0,509.0
77,,,,C_77,53.0,43.0,14.0,65.0,200.0,10.0,467.0
78,,,,C_78,61.0,52.0,3.0,43.0,158.0,10.0,444.0
79,,,,C_79,57.0,48.0,23.0,58.0,135.0,10.0,706.0
80,,,,C_80,56.0,37.0,6.0,69.0,198.0,10.0,215.0
81,,,,C_81,55.0,54.0,26.0,87.0,110.0,10.0,130.0
82,,,,C_82,15.0,47.0,16.0,28.0,91.0,10.0,109.0
83,,,,C_83,14.0,37.0,11.0,21.0,97.0,10.0,355.0
84,,,,C_84,11.0,31.0,7.0,68.0,143.0,10.0,588.0
85,,,,C_85,16.0,22.0,41.0,74.0,117.0,10.0,333.0
86,,,,C_86,4.0,18.0,35.0,79.0,118.0,10.0,660.0
87,,,,C_87,28.0,18.0,26.0,84.0,111.0,10.0,448.0
88,,,,C_88,26.0,52.0,9.0,24.0,133.0,10.0,769.0
