,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,R112,25.0,200.0,depart,35.0,35.0,0.0,0.0,230.0,0.0,469.0
1,,,,C_1,41.0,49.0,10.0,73.0,204.0,10.0,748.0
2,,,,C_2,35.0,17.0,7.0,18.0,147.0,10.0,577.0
3,,,,C_3,55.0,45.0,13.0,76.0,165.0,10.0,479.0
4,,,,C_4,55.0,20.0,19.0,73.0,195.0,10.0,386.0
5,,,,C_5,15.0,30.0,26.0,20.0,167.0,10.0,516.0
6,,,,C_6,25.0,30.0,3.0,49.0,158.0,10.0,428.0
7,,,,C_7,20.0,50.0,5.0,36.0,135.0,10.0,610.0
8,,,,C_8,10.0,43.0,9.0,50.0,149.0,10.0,544.0
9,,,,C_9,55.0,60.0,16.0,47.0,156.0,10.0,574.0
10,,,,C_10,30.0,60.0,16.0,85.0,172.0,10.0,653.0
11,,,,C_11,20.0,65.0,12.0,33.0,152.0,10.0,199.0
12,,,,C_12,50.0,35.0,19.0,15.0,133.0,10.0,170.0
13,,,,C_13,30.0,25.0,23.0,79.0,208.0,10.0,625.0
14,,,,C_14,15.0,10.0,20.0,32.0,187.0,10.0,792.0
15,,,,C_15,30.0,5.0,8.0,30.0,152.0,10.0,217.0
16,,,,C_16,10.0,20.0,19.0,29.0,139.0,10.0,542.0
17,,,,C_17,5.0,30.0,2.0,60.0,189.0,10.0,599.0
18,,,,C_18,20.0,40.0,12.0,47.0,136.0,10.0,766.0
19,,,,C_19,15.0,60.0,17.0,32.0,146.0,10.0,656.0
20,,,,C_20,45.0,65.0,9.0,79.0,182.0,10.0,764.0
21,,,,C_21,45.0,20.0,11.0,18.0,136.0,10.0,187.0
22,,,,C_22,45.0,10.0,18.0,50.0,153.0,10.0,200.0
23,,,,C_23,55.0,5.0,29.0,36.0,155.0,10.0,405.0
24,,,,C_24,65.0,35.0,3.0,58.0,190.0,10.0,419.0
25,,,,C_25,65.0,20.0,6.0,56.0,186.0,10.0,805.0
26,,,,C_26,45.0,30.0,17.0,87.0,186.0,10.0,779.0
27,,,,C_27,35.0,40.0,16.0,5.0,140.0,10.0,650.0
28,,,,C_28,41.0,37.0,16.0,6.0,136.0,10.0,587.0
29,,,,C_29,64.0,42.0,9.0,29.0,150.0,10.0,173.0
30,,,,C_30,40.0,60.0,21.0,25.0,132.0,10.0,530.0
31,,,,C_31,31.0,52.0,27.0,17.0,138.0,10.0,546.0
32,,,,C_32,35.0,69.0,23.0,67.0,186.0,10.0,719.0
33,,,,C_33,53.0,52.0,11.0,24.0,161.0,10.0,518.0
34,,,,C_34,65.0,55.0,14.0,70.0,173.0,10.0,343.0
35,,,,C_35,63.0,65.0,8.0,54.0,178.0,10.0,397.0
36,,,,C_36,2.0,60.0,5.0,41.0,178.0,10.0,505.0
37,,,,C_37,20.0,20.0,8.0,87.0,190.0,10.0,761.0
38,,,,C_38,5.0,5.0,16.0,42.0,153.0,10.0,330.0
39,,,,C_39,60.0,12.0,31.0,33.0,186.0,10.0,231.0
40,,,,C_40,40.0,25.0,9.0,40.0,139.0,10.0,165.0
41,,,,C_41,42.0,7.0,5.0,43.0,160.0,10.0,319.0
42,,,,C_42,24.0,12.0,5.0,25.0,158.0,10.0,513.0
43,,,,C_43,23.0,3.0,7.0,82.0,185.0,10.0,823.0
44,,,,C_44,11.0,14.0,18.0,31.0,144.0,10.0,609.0
45,,,,C_45,6.0,38.0,16.0,29.0,169.0,10.0,780.0
46,,,,C_46,2.0,48.0,1.0,63.0,180.0,10.0,824.0
47,,,,C_47,8.0,56.0,27.0,34.0,176.0,10.0,500.0
48,,,,C_48,13.0,52.0,36.0,65.0,192.0,10.0,353.0
49,,,,C_49,6.0,68.0,30.0,73.0,152.0,10.0,219.0
50,,,,C_50,47.0,47.0,13.0,75.0,182.0,10.0,239.0
